feature,VIF
base_ingredient_cost,1.73
quantity,1.06
recipe_complexity,1.55
guest_count,1.04
historical_demand,1.0
days_until_event,3.47
price_volatility,1.0
recent_price_trend,1.0
has_perishable,1.0
is_weekend,2.68
is_wedding_season,8.54
is_festival_season,2.81
month_sin,4.52
month_cos,6.94
day_of_week_sin,2.64
day_of_week_cos,1.15
menu_category_breakfast,inf
menu_category_nonveg_main,inf
menu_category_rice,inf
menu_category_side_dish,1.0
menu_category_veg_main,inf
event_type_Birthday,inf
event_type_Corporate,inf
event_type_Other,inf
event_type_Wedding,inf
